Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,57800.000000,58500.000000,57700.000000,58200.000000,56386.355469,431757
2022-05-06,57900.000000,58800.000000,57800.000000,57800.000000,55998.820313,662434
2022-05-10,58000.000000,59100.000000,57000.000000,59100.000000,57258.308594,580566
2022-05-11,58700.000000,59600.000000,58200.000000,59600.000000,57742.726563,569018
2022-05-12,59700.000000,59800.000000,58900.000000,59800.000000,57936.496094,841386
2022-05-13,60000.000000,61900.000000,59400.000000,61000.000000,59099.101563,1186612
2022-05-16,61200.000000,61200.000000,59100.000000,59100.000000,57258.308594,439917
2022-05-17,59400.000000,60700.000000,59100.000000,60500.000000,58614.683594,841696
2022-05-18,60800.000000,61000.000000,58700.000000,58800.000000,56967.660156,811550
2022-05-19,58600.000000,58700.000000,57500.000000,57800.000000,55998.820313,942599
2022-05-20,58400.000000,59400.000000,57700.000000,58200.000000,56386.355469,883914
2022-05-23,58200.000000,58400.000000,57000.000000,57300.000000,55514.402344,684768
2022-05-24,57100.000000,57600.000000,56500.000000,56500.000000,54739.332031,687355
2022-05-25,56700.000000,57100.000000,56400.000000,56400.000000,54642.445313,615717
2022-05-26,56400.000000,57100.000000,56300.000000,57000.000000,55223.750000,603554
2022-05-27,57500.000000,57600.000000,56800.000000,57200.000000,55417.519531,508199
2022-05-30,57600.000000,58100.000000,57000.000000,57100.000000,55320.632813,504675
2022-05-31,57300.000000,57500.000000,56400.000000,57100.000000,55320.632813,1662498
2022-06-02,56800.000000,57000.000000,56100.000000,56200.000000,54448.679688,879165
2022-06-03,56400.000000,56800.000000,56300.000000,56600.000000,54836.214844,402600
2022-06-07,56400.000000,56600.000000,56100.000000,56200.000000,54448.679688,607284
2022-06-08,56300.000000,56600.000000,55800.000000,56100.000000,54351.796875,550800
2022-06-09,56100.000000,56300.000000,55600.000000,55600.000000,53867.378906,853254
2022-06-10,55600.000000,55800.000000,55100.000000,55800.000000,54061.148438,550827
2022-06-13,55100.000000,55500.000000,54600.000000,54700.000000,52995.425781,751182
2022-06-14,54000.000000,54500.000000,53400.000000,53700.000000,52026.585938,1152816
2022-06-15,53700.000000,53700.000000,51800.000000,51800.000000,50185.792969,1224677
2022-06-16,52400.000000,52600.000000,50300.000000,50900.000000,49313.839844,1228880
2022-06-17,50100.000000,52800.000000,49800.000000,51900.000000,50282.679688,1774906
2022-06-20,52900.000000,53200.000000,51700.000000,52700.000000,51057.750000,750661
2022-06-21,53300.000000,53400.000000,52600.000000,52600.000000,50960.867188,577656
2022-06-22,52700.000000,52700.000000,51500.000000,52000.000000,50379.562500,712022
2022-06-23,52200.000000,53900.000000,52200.000000,53600.000000,51929.703125,807107
2022-06-24,53800.000000,54800.000000,53100.000000,54400.000000,52704.773438,601985
2022-06-27,54800.000000,54800.000000,54100.000000,54100.000000,52414.121094,542176
2022-06-28,54500.000000,54900.000000,54200.000000,54500.000000,52801.656250,523385
